#,PLANTA,FRUTO,INCIDENCIA,SEVERIDAD (%)
1,PL001,1,0,0
2,PL001,2,0,0
3,PL001,3,0,0
4,PL001,4,0,0
5,PL001,5,1,80
6,PL001,6,0,0
7,PL001,7,1,10
8,PL001,8,1,80
9,PL001,9,1,75
10,PL001,10,0,0
11,PL002,1,0,0
12,PL002,2,1,80
13,PL002,3,0,0
14,PL002,4,0,0
15,PL002,5,0,0
16,PL002,6,1,90
17,PL002,7,0,0
18,PL002,8,0,0
19,PL002,9,0,0
20,PL002,10,0,0
21,PL003,1,1,100
22,PL003,2,0,0
23,PL003,3,1,95
24,PL003,4,1,75
25,PL003,5,0,0
26,PL003,6,1,80
27,PL003,7,0,0
28,PL003,8,0,0
29,PL003,9,0,0
30,PL003,10,0,0
31,PL004,1,1,5
32,PL004,2,1,80
33,PL004,3,0,0
34,PL004,4,0,0
35,PL004,5,0,0
36,PL004,6,0,0
37,PL004,7,0,0
38,PL004,8,0,0
39,PL004,9,1,90
40,PL004,10,0,0
41,PL005,1,0,0
42,PL005,2,1,80
43,PL005,3,1,85
44,PL005,4,1,80
45,PL005,5,0,0
46,PL005,6,0,0
47,PL005,7,0,0
48,PL005,8,0,0
49,PL005,9,0,0
50,PL005,10,1,100
51,PL006,1,1,100
52,PL006,2,1,80
53,PL006,3,1,75
54,PL006,4,0,0
55,PL006,5,1,100
56,PL006,6,0,0
57,PL006,7,1,75
58,PL006,8,0,0
59,PL006,9,0,0
60,PL006,10,1,80
61,PL007,1,0,0
62,PL007,2,0,0
63,PL007,3,0,0
64,PL007,4,0,0
65,PL007,5,0,0
66,PL007,6,0,0
67,PL007,7,0,0
68,PL007,8,0,0
69,PL007,9,0,0
70,PL007,10,0,0
71,PL008,1,1,100
72,PL008,2,1,80
73,PL008,3,1,75
74,PL008,4,0,0
75,PL008,5,0,0
76,PL008,6,0,0
77,PL008,7,0,0
78,PL008,8,0,0
79,PL008,9,0,0
80,PL008,10,0,0
81,PL009,1,0,0
82,PL009,2,1,75
83,PL009,3,1,80
84,PL009,4,0,0
85,PL009,5,0,0
86,PL009,6,0,0
87,PL009,7,1,5
88,PL009,8,1,90
89,PL009,9,0,0
90,PL009,10,0,0
91,PL010,1,1,80
92,PL010,2,0,0
93,PL010,3,1,95
94,PL010,4,0,0
95,PL010,5,0,0
96,PL010,6,0,0
97,PL010,7,0,0
98,PL010,8,1,95
99,PL010,9,0,0
100,PL010,10,0,0
